Frame,Label,Pelvis x,Pelvis y,Pelvis z,L5 x,L5 y,L5 z,L3 x,L3 y,L3 z,T12 x,T12 y,T12 z,T8 x,T8 y,T8 z,Neck x,Neck y,Neck z,Head x,Head y,Head z,Right Shoulder x,Right Shoulder y,Right Shoulder z,Right Upper Arm x,Right Upper Arm y,Right Upper Arm z,Right Forearm x,Right Forearm y,Right Forearm z,Right Hand x,Right Hand y,Right Hand z,Left Shoulder x,Left Shoulder y,Left Shoulder z,Left Upper Arm x,Left Upper Arm y,Left Upper Arm z,Left Forearm x,Left Forearm y,Left Forearm z,Left Hand x,Left Hand y,Left Hand z,Right Upper Leg x,Right Upper Leg y,Right Upper Leg z,Right Lower Leg x,Right Lower Leg y,Right Lower Leg z,Right Foot x,Right Foot y,Right Foot z,Right Toe x,Right Toe y,Right Toe z,Left Upper Leg x,Left Upper Leg y,Left Upper Leg z,Left Lower Leg x,Left Lower Leg y,Left Lower Leg z,Left Foot x,Left Foot y,Left Foot z,Left Toe x,Left Toe y,Left Toe z
0,4,0,0,0,-0.137917151242387,-0.172205752275751,-0.0493504933731769,-0.137917151242387,-0.172205752275751,-0.0493504933731769,-0.137917151242387,-0.172205752275751,-0.0493504933731769,-0.165382595673838,-0.0733467931689542,-0.0854904683376552,-0.137917151242387,-0.172205752275751,-0.0493504933731769,-0.215523039744251,-0.105209554992308,-0.14582587554425,-0.0945515691546876,-0.100710786695677,-0.0743856954685578,-0.285584587611483,0.0388871021326157,0.0181356615591761,-0.529542746851361,-0.0558218534271193,0.394767699815686,-0.637277484032287,-0.237177283260328,0.29801189895835,-0.0746079864716326,-0.128910404987607,-0.0962555793881872,-0.101921079836444,-0.246905481473865,-0.141130922837519,-0.20067527571029,-0.211394682591073,-0.232782042135198,-0.172578305091324,-0.228121784281262,-0.198409697583009,-0.171044848418539,0.0702718907026797,-0.105149840848092,-0.0557723982789453,-0.12852058875989,-0.145762086794107,-0.108902937526132,-0.198251905702632,-0.11971028836693,-0.108902937526132,-0.198251905702632,-0.11971028836693,0.12259981719675,-0.220865438097094,-0.109335678838431,-0.0741873696272145,-0.220882660156631,-0.0855796414050964,-0.112034822995301,-0.196328428991599,-0.0982066867884727,-0.112034822995301,-0.196328428991599,-0.0982066867884727
1,4,0,0,0,-0.139372647613065,-0.162216387750866,-0.0504674604792232,-0.146868381036771,-0.168029288540236,-0.0524990056783345,-0.150927388969297,-0.173553196893476,-0.0544769805163044,-0.164466913054937,-0.0518507886644685,-0.081655834682837,-0.165631943696685,-0.192304017217438,-0.0613459758289466,-0.211907310711464,-0.0920881666389816,-0.138104002768161,-0.10793116533868,-0.0826254552469101,-0.0691166171190741,-0.284744145784536,0.0433292889678612,0.0141154237428561,-0.494083567094665,-0.0542545437638851,0.352314906936665,-0.60978345746647,-0.217483683781279,0.220047364297287,-0.0896070020332253,-0.112990176612149,-0.0927263431936139,-0.110870887919599,-0.228836105795612,-0.13643642588232,-0.215746532421533,-0.195069126151384,-0.225811900951771,-0.19305613133696,-0.210863045507635,-0.188296429085118,-0.141570941663833,0.0493230201357971,-0.105372159847654,-0.0446478999041,-0.156482799940051,-0.138887852459467,-0.123297101369129,-0.205165490624405,-0.128555981214811,-0.123297101369129,-0.205165490624405,-0.128555981214811,0.10750765882518,-0.190469889601838,-0.101484513412986,-0.0804070777386808,-0.221552873064404,-0.0843364891900383,-0.0871377333270471,-0.208796783479189,-0.0936729334188986,-0.0871377333270471,-0.208796783479189,-0.0936729334188986
2,4,0,0,0,-0.140828143983742,-0.15222702322598,-0.0515844275852695,-0.155819610831155,-0.163852824804721,-0.0556475179834922,-0.163937626696206,-0.1749006415112,-0.0596034676594319,-0.163551230436036,-0.0303547841599829,-0.077821201028019,-0.193346736150982,-0.212402282159124,-0.0733414582847163,-0.208291581678677,-0.0789667782856555,-0.130382129992072,-0.121310761522673,-0.0645401237981431,-0.0638475387695904,-0.283903703957588,0.0477714758031068,0.0100951859265362,-0.45862438733797,-0.052687234100651,0.309862114057644,-0.582289430900653,-0.197790084302229,0.142082829636224,-0.104606017594818,-0.0970699482366904,-0.0891971069990406,-0.119820696002754,-0.210766730117359,-0.131741928927122,-0.230817789132775,-0.178743569711695,-0.218841759768344,-0.213533957582596,-0.193604306734008,-0.178183160587227,-0.112097034909127,0.0283741495689145,-0.105594478847216,-0.0335234015292547,-0.184445011120211,-0.132013618124828,-0.137691265212127,-0.212079075546177,-0.137401674062692,-0.137691265212127,-0.212079075546177,-0.137401674062692,0.092415500453611,-0.160074341106581,-0.0936333479875411,-0.0866267858501471,-0.222223085972178,-0.0830933369749802,-0.0622406436587931,-0.221265137966779,-0.0891391800493245,-0.0622406436587931,-0.221265137966779,-0.0891391800493245
3,4,0,0,0,-0.136703184296803,-0.140717953881602,-0.0493273304678584,-0.156131751667155,-0.155611954308576,-0.0545858526662183,-0.166533230034361,-0.169803783091167,-0.0596700507272305,-0.161566799185216,-0.0128538152482258,-0.0731277871484884,-0.20379258954223,-0.218010467146047,-0.077205809232689,-0.201915919887643,-0.0636466952912191,-0.122687959099207,-0.129895770046606,-0.0481624181815892,-0.058761919231956,-0.278295086992891,0.0518171093752527,0.0071703342984832,-0.426598848443232,-0.0486763898680072,0.27470406561337,-0.55834323673455,-0.172990393060322,0.0790562722401267,-0.114119735809547,-0.0809453703260978,-0.0846291759459943,-0.124255022711055,-0.191647400550047,-0.125362678731903,-0.240279363015494,-0.16237566266136,-0.209107664054809,-0.227328847445532,-0.176287708889907,-0.167199839728527,-0.0894090757739922,0.0142625149000979,-0.101851526657662,-0.0137679124692723,-0.205633561053652,-0.123246050028741,-0.142015633923655,-0.214329124021578,-0.140934971416355,-0.142015633923655,-0.214329124021578,-0.140934971416355,0.0858314623879838,-0.13666386964054,-0.086357638633651,-0.0879215882051452,-0.226083981217791,-0.0811791143694047,-0.0319931092666658,-0.220962657372286,-0.0850295087217757,-0.0319931092666658,-0.220962657372286,-0.0850295087217757
4,4,0,0,0,-0.122162590067632,-0.12621889613047,-0.0415691284725214,-0.140258701619594,-0.14007767780862,-0.0464992477165865,-0.149302138672595,-0.153432436829237,-0.0511659183533003,-0.159925996002182,-0.00182028696764594,-0.0676033771074773,-0.180441334654673,-0.198557323778467,-0.066568182045415,-0.190308624158218,-0.0435910433098436,-0.11540659614142,-0.130106641400955,-0.0347162131726344,-0.0539577369262069,-0.263070184879875,0.0545488580286744,0.00571561164798047,-0.398343778991513,-0.0404538983961794,0.250376755300967,-0.540420677729438,-0.137434851017276,0.0396207742399748,-0.114311287043138,-0.0631658158973832,-0.0780761406780431,-0.121052614195917,-0.169667531472864,-0.116084990962159,-0.241395362915253,-0.144850652427969,-0.194387305912227,-0.231043953501838,-0.156957208084322,-0.155662345890972,-0.0784258712320631,0.00989892474481127,-0.0910604447153571,0.0273907524206129,-0.21847380566291,-0.110964915398412,-0.128706517608542,-0.2102542313145,-0.135843831647187,-0.128706517608542,-0.2102542313145,-0.135843831647187,0.0962786262366931,-0.124930712461594,-0.0805618929771976,-0.0835866066705011,-0.23935985198027,-0.0797634877349255,0.0170037477510291,-0.199468334296186,-0.0824380213687562,0.0170037477510291,-0.199468334296186,-0.0824380213687562
5,4,0,0,0,-0.102041539780846,-0.110200133559845,-0.0304368622537269,-0.115746562613649,-0.120478994548034,-0.0342024651445232,-0.121656412922074,-0.130616787529549,-0.0376018819040412,-0.15721644418723,0.00521820572020534,-0.0612201868417536,-0.139821140704067,-0.164614100456122,-0.0477994233503439,-0.175941395670545,-0.0213366966873577,-0.108152935066855,-0.125522925095245,-0.0229776339958927,-0.0493370134323071,-0.243077107629109,0.0568840534189965,0.0053562751857447,-0.373522350401751,-0.029787872354942,0.233344189423311,-0.526045951124039,-0.0967732172113719,0.0151232535047881,-0.109017540929865,-0.0451819119335345,-0.070484410551619,-0.113334724305925,-0.146637708506622,-0.105122549952395,-0.236901679986488,-0.127283291583932,-0.176902993239537,-0.228076123175444,-0.137568848208263,-0.143254799692608,-0.0742286143097054,0.0123725704875907,-0.0763040915839362,0.077180407995635,-0.224540389025448,-0.096790447006635,-0.105327606161959,-0.20151580216105,-0.125440296383801,-0.105327606161959,-0.20151580216105,-0.125440296383801,0.115233910391345,-0.120182632311863,-0.075341603392299,-0.0743267193793888,-0.255826405080588,-0.077676790709929,0.0713510494925972,-0.165203176138004,-0.0802706160577619,0.0713510494925972,-0.165203176138004,-0.0802706160577619
6,4,0,0,0,-0.0852651128326719,-0.0955528121120242,-0.0189375895514233,-0.0965945514664667,-0.102438495495729,-0.0219296133573764,-0.101417599327551,-0.109403086566761,-0.0244504714033243,-0.148132265009331,0.0116838423379446,-0.0530360839369098,-0.114247576274627,-0.133404462423463,-0.0318809415220279,-0.163469405206813,-0.00229558382013786,-0.0997993596031743,-0.122088681997987,-0.0109826821574191,-0.0447892723019977,-0.228092010134558,0.0611781372499926,0.00606348273219291,-0.354557717792723,-0.0195391151842081,0.220293131323777,-0.511339481034239,-0.0628486769945918,-0.00545755909341052,-0.104263809025684,-0.0311411898483808,-0.0636545187775452,-0.105949633211988,-0.126939734624692,-0.0944316554660974,-0.229396304863979,-0.112975487235833,-0.16055769520345,-0.221932962355437,-0.123932901864286,-0.128159510626763,-0.0688468317055879,0.0197882621801103,-0.0628657717651886,0.105915489506634,-0.221783582126938,-0.0836900094103542,-0.0845001741379522,-0.188434514323174,-0.114348095017816,-0.0845001741379522,-0.188434514323174,-0.114348095017816,0.125636190332697,-0.115327994446917,-0.0685587030728637,-0.0573316549748612,-0.260001443319508,-0.070738953819057,0.0962026069768288,-0.13065937001423,-0.0756690690333059,0.0962026069768288,-0.13065937001423,-0.0756690690333059
7,4,0,0,0,-0.0755690882286751,-0.0835415158931189,-0.00623803277373272,-0.0894650871934272,-0.088080368470189,-0.00947997821603366,-0.0978776928029302,-0.0925857590946382,-0.0121455595917664,-0.125779957635555,0.0183638116732993,-0.0405047061133147,-0.122633219552708,-0.110841474711898,-0.0225291254680414,-0.154571106183188,0.011326238175914,-0.0883685569851776,-0.122013805888868,0.00263796500065785,-0.0395212820571553,-0.222781666925912,0.0690360828076259,0.0090863452769818,-0.342405416888818,-0.0124736398167641,0.213766828488144,-0.4927122000622,-0.0448540831808595,-0.0266508143007985,-0.102027906663114,-0.0241087640062907,-0.0580317478612377,-0.100079588585417,-0.113039849528442,-0.0836019325422379,-0.217820688210756,-0.103768383590711,-0.144821699068646,-0.212451178508505,-0.119550890490956,-0.10636533264456,-0.0573151910495611,0.0393648984537539,-0.0507392078331425,0.0947651559957263,-0.205490143933678,-0.0715151718547104,-0.0700148354083079,-0.168289030437876,-0.102698371347453,-0.0700148354083079,-0.168289030437876,-0.102698371347453,0.119428810760005,-0.109689911835266,-0.05811637010016,-0.025630916068594,-0.240178483790971,-0.053761804939718,0.0671760925387801,-0.0944894633563492,-0.06489710630942,0.0671760925387801,-0.0944894633563492,-0.06489710630942
8,4,0,0,0,-0.0692176869632915,-0.0729016607970172,0.00682853048746698,-0.0876957507791507,-0.0752804256529311,0.00294572614039253,-0.101744698434307,-0.0773703799594156,-0.000253273728750698,-0.0970530228988334,0.024470924938542,-0.0261724156505994,-0.146065492351955,-0.0910120722900189,-0.0160275862808099,-0.147568045183503,0.0217348264166998,-0.0758378399780642,-0.1230884029882,0.0165149848204667,-0.0343262741759034,-0.222479303473481,0.0788529168059331,0.0131757518304547,-0.336109911965646,-0.00582543331982366,0.211222033430632,-0.47375317560576,-0.0335965829562512,-0.0439273613711983,-0.100332018509636,-0.0210195200428957,-0.0531708152972804,-0.0945423427549016,-0.102471813516504,-0.0730437561418457,-0.203233379363789,-0.0978208364415256,-0.130224717570446,-0.199794064167961,-0.120921292649708,-0.0818834117948755,-0.0445990247117745,0.0638835806771376,-0.0399306772137698,0.0625602484207954,-0.18037331547937,-0.0604143650945624,-0.0580809761012395,-0.143800687868151,-0.0903599815744914,-0.0580809761012395,-0.143800687868151,-0.0903599815744914,0.104668426974015,-0.1039452715084,-0.0461114263929195,0.0138049999510886,-0.208064009401036,-0.0319335161945037,0.00865383384339496,-0.0580409087328766,-0.0516910018720724,0.00865383384339496,-0.0580409087328766,-0.0516910018720724
9,4,0,0,0,-0.0639286514160604,-0.0627306404476785,0.0147552097165938,-0.0852985019946466,-0.0632886945574232,0.0105112488872163,-0.102964178024719,-0.0634199250744543,0.00705547438370154,-0.0773260845669235,0.0310657952931067,-0.0167361669732491,-0.160122228697523,-0.0734007253080495,-0.0122085656121626,-0.14208003274144,0.0301364238535494,-0.0670115306050923,-0.124626852825429,0.0285044078223388,-0.0314734666443535,-0.222960751082155,0.0881691610907983,0.0145555272440584,-0.335227750968812,0.00584273966505877,0.201715767037272,-0.461350033974317,-0.0133408032309768,-0.0547210171940546,-0.0992680101236432,-0.01682564627892,-0.0495364067802493,-0.0906394328774205,-0.0922187104581461,-0.0659445509114982,-0.191408016968765,-0.0929113202737439,-0.122258858081522,-0.187959102822823,-0.123349816627394,-0.0649294957176747,-0.0376238565013459,0.0697924230077851,-0.0357423166867746,0.0361077249063282,-0.158523090850783,-0.0538002459514287,-0.0499480291554327,-0.123454176464931,-0.0815632236958906,-0.0499480291554327,-0.123454176464931,-0.0815632236958906,0.0884638803577188,-0.0930330998163645,-0.0366962709012459,0.0428748722761602,-0.183295271668639,-0.0166385344758302,-0.0410633750957049,-0.037848250965852,-0.0444013539236809,-0.0410633750957049,-0.037848250965852,-0.0444013539236809
